driverId,constructorId,grid,circuitId,driver_avg_pos_last_3,constructor_avg_pos_last_3,driver_avg_pos_last_5,constructor_avg_pos_last_5,driver_avg_grid_last_3,constructor_avg_grid_last_3,driver_avg_grid_last_5,constructor_avg_grid_last_5,actual,predicted,abs_error,year,raceId,statusId,status
842,214,6,69,11.666666666666666,11.333333333333334,10.6,11.2,14.333333333333334,13.0,13.0,12.4,12,5.71,6.29,2024,1139,1,Finished
807,210,8,24,12.333333333333334,12.333333333333334,13.4,12.0,7.0,6.666666666666667,7.0,7.0,15,8.72,6.279999999999999,2023,1120,1,Finished
840,117,20,14,11.333333333333334,7.333333333333333,10.4,7.2,11.0,8.666666666666666,11.0,9.0,16,9.73,6.27,2023,1112,1,Finished
822,51,11,34,7.333333333333333,8.0,6.8,7.4,10.0,11.0,8.4,9.0,14,7.75,6.25,2022,1085,1,Finished
807,210,16,13,7.666666666666667,10.666666666666666,9.0,9.2,9.333333333333334,13.333333333333334,10.8,12.2,18,11.81,6.1899999999999995,2024,1134,1,Finished
822,51,10,79,9.333333333333334,11.0,10.8,10.6,8.666666666666666,9.333333333333334,10.6,10.6,13,6.83,6.17,2023,1102,1,Finished
825,210,18,79,13.666666666666666,12.333333333333334,13.4,11.6,12.666666666666666,11.666666666666666,8.8,12.8,19,12.85,6.15,2024,1126,1,Finished
846,1,16,79,10.666666666666666,9.333333333333334,8.8,10.2,13.0,11.0,10.4,13.0,17,10.87,6.130000000000001,2023,1102,1,Finished
846,1,19,77,7.333333333333333,10.0,6.6,10.4,7.666666666666667,9.333333333333334,6.4,9.8,17,10.9,6.1,2023,1099,1,Finished
817,1,18,3,4.666666666666667,7.333333333333333,3.8,7.0,7.333333333333333,7.0,5.6,6.8,14,7.93,6.07,2022,1074,1,Finished
817,1,17,39,12.333333333333334,11.333333333333334,11.2,10.0,10.0,10.333333333333334,10.2,8.8,17,10.95,6.050000000000001,2022,1088,1,Finished
832,6,5,1,4.666666666666667,5.666666666666667,4.4,4.6,4.0,6.666666666666667,4.8,5.4,12,5.98,6.02,2023,1100,1,Finished
807,210,0,13,11.666666666666666,14.333333333333334,11.8,13.2,11.0,13.0,12.0,11.8,18,12.01,5.99,2023,1110,1,Finished
857,1,2,24,6.0,4.666666666666667,6.2,5.4,6.666666666666667,2.6666666666666665,8.4,4.4,10,4.04,5.96,2024,1144,1,Finished
840,117,12,9,8.0,7.0,8.6,6.4,9.0,7.333333333333333,10.8,8.0,14,8.05,5.949999999999999,2023,1108,1,Finished
848,3,8,69,11.666666666666666,10.0,11.4,10.6,11.333333333333334,14.333333333333334,12.8,12.4,13,7.18,5.82,2022,1093,1,Finished
1,131,10,80,6.666666666666667,5.0,6.8,4.8,7.666666666666667,5.666666666666667,5.8,5.6,2,7.75,5.75,2024,1142,1,Finished
842,214,12,39,11.0,9.666666666666666,10.0,9.8,12.0,11.666666666666666,10.6,11.2,3,8.73,5.73,2023,1111,1,Finished
855,51,14,79,11.333333333333334,11.0,12.4,10.8,13.666666666666666,9.0,14.6,10.0,16,10.28,5.720000000000001,2023,1102,1,Finished
846,1,7,7,10.666666666666666,13.0,11.0,11.2,12.0,11.333333333333334,12.4,11.4,13,7.38,5.62,2023,1106,1,Finished
857,1,7,14,6.0,8.0,8.0,7.2,5.0,6.333333333333333,6.6,6.0,12,6.39,5.61,2023,1112,1,Finished
849,3,17,69,12.333333333333334,10.333333333333334,13.4,10.6,16.0,12.0,17.4,11.4,17,11.4,5.6,2022,1093,1,Finished
858,3,18,13,14.666666666666666,10.666666666666666,14.0,13.4,17.333333333333332,10.333333333333334,14.8,13.0,17,11.45,5.550000000000001,2024,1134,1,Finished
848,3,5,80,10.333333333333334,9.333333333333334,9.8,11.0,14.0,15.0,12.4,15.2,12,6.52,5.48,2023,1119,1,Finished
817,1,15,69,11.0,9.0,11.4,7.2,14.666666666666666,9.0,12.0,9.8,16,10.58,5.42,2022,1093,1,Finished
855,51,10,32,11.666666666666666,9.666666666666666,12.6,11.0,11.666666666666666,13.666666666666666,13.8,11.4,14,8.65,5.35,2023,1117,1,Finished
